Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;9662;;
Nederland;L528;AantalGeldigeStemmen;;6232198;;
Nederland;L528;AantalOngeldigeStemmen;;11607;;
Nederland;L528;Kiesgerechtigden;;13542363;;
Nederland;L528;Opkomst;;6253467;;
Nederland;L528;Partij;GROENLINKS / Partij van de Arbeid (PvdA);1314428;8;
Nederland;L528;Partij;PVV (Partij voor de Vrijheid);1057662;6;
Nederland;L528;Partij;VVD;707141;4;
Nederland;L528;Partij;CDA - Europese Volkspartij;589205;3;
Nederland;L528;Partij;D66;523650;3;
Nederland;L528;Partij;BBB;336953;2;
Nederland;L528;Partij;Volt Nederland;319483;2;
Nederland;L528;Partij;Partij voor de Dieren;281600;1;
Nederland;L528;Partij;NSC;233564;1;
Nederland;L528;Partij;Staatkundig Gereformeerde Partij (SGP);228036;1;
Nederland;L528;Partij;ChristenUnie;180060;;
Nederland;L528;Partij;Forum voor Democratie;155187;;
Nederland;L528;Partij;SP (Socialistische Partij);136978;;
Nederland;L528;Partij;50PLUS;58498;;
Nederland;L528;Partij;JA21;40570;;
Nederland;L528;Partij;Piratenpartij - De Groenen;23764;;
Nederland;L528;Partij;Belang Van Nederland (BVNL);23032;;
Nederland;L528;Partij;Meer Directe Democratie;11295;;
Nederland;L528;Partij;NL PLAN EU;8360;;
Nederland;L528;Partij;vandeRegio;2732;;
