Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Bonaire;O9001;AantalBlancoStemmen;;118;;
Bonaire;O9001;AantalGeldigeStemmen;;8845;;
Bonaire;O9001;AantalOngeldigeStemmen;;97;;
Bonaire;O9001;Kiesgerechtigden;;14114;;
Bonaire;O9001;Opkomst;;9060;;
Bonaire;O9001;Partij;Movementu di Pueblo Boneriano (M.P.B.);3575;4;
Bonaire;O9001;Partij;DEMOKRAT;2132;3;
Bonaire;O9001;Partij;U.P.B.;1791;2;
Bonaire;O9001;Partij;Frente Sosial Progresivo (FSP);479;;
Bonaire;O9001;Partij;Era Nobo;394;;
Bonaire;O9001;Partij;1 Union pa Pueblo;367;;
Bonaire;O9001;Partij;Lijst 5 (blanco lijst);63;;
Bonaire;O9001;Partij;Lijst 8 (blanco lijst);44;;
