Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
Dijk en Waard;G1980;;Dijk&Waardse Onafhankelijke Partij;4431;7;
Dijk en Waard;G1980;;Lokaal Dijk en Waard;3706;6;
Dijk en Waard;G1980;;VVD;3071;5;
Dijk en Waard;G1980;;Senioren Dijk en Waard;2625;4;
Dijk en Waard;G1980;;D66;1884;3;
Dijk en Waard;G1980;;GROENLINKS;1879;3;
Dijk en Waard;G1980;;Forum voor Democratie;1787;3;
Dijk en Waard;G1980;;CDA;1737;2;
Dijk en Waard;G1980;;Partij van de Arbeid (P.v.d.A.);1705;2;
Dijk en Waard;G1980;;ChristenUnie;1170;2;
Dijk en Waard;G1980;;Blanco (Planken, R.W.J.);335;0;
Dijk en Waard;G1980;;Authentiek Dijk en Waard;236;0;
Land van Cuijk;G1982;;CDA;10972;13;
Land van Cuijk;G1982;;Team Lokaal;7198;8;
Land van Cuijk;G1982;;Liberaal LVC;4792;5;
Land van Cuijk;G1982;;GROENLINKS / Partij van de Arbeid (P.v.d.A.);3103;3;
Land van Cuijk;G1982;;SP (Socialistische Partij);2257;2;
Land van Cuijk;G1982;;VVD;2145;2;
Land van Cuijk;G1982;;D66;1885;2;
Land van Cuijk;G1982;;Forum voor Democratie;1295;1;
Land van Cuijk;G1982;;LPG;1010;1;
Land van Cuijk;G1982;;50PLUS;750;0;
Land van Cuijk;G1982;;KEERPUNT Samen standvastig vooruit;727;0;
Land van Cuijk;G1982;;Lijst Bart Theunissen;359;0;
Land van Cuijk;G1982;;ChristenUnie;266;0;
Maashorst;G1991;;JONG MAASHORST;3996;7;
Maashorst;G1991;;CDA;2844;5;
Maashorst;G1991;;Voor de Dorpen;2138;3;
Maashorst;G1991;;Maashorst Vooruit;1831;3;
Maashorst;G1991;;VVD;1815;3;
Maashorst;G1991;;SP (Socialistische Partij);1657;3;
Maashorst;G1991;;Gewoon Uden;1596;2;
Maashorst;G1991;;UdenPlusLanderd;1163;2;
Maashorst;G1991;;PRO;940;1;
Maashorst;G1991;;Forum voor Democratie;863;1;
Maashorst;G1991;;GROENLINKS;677;1;
Maashorst;G1991;;PartijvdSport;236;0;
Maashorst;G1991;;Vrouw Maashorst;173;0;
Purmerend;G0439;11066;STADSPARTIJ-Beemster Polder Partij;4962;9;
Purmerend;G0439;11066;Partij van de Arbeid (P.v.d.A.);3063;5;
Purmerend;G0439;11066;VVD;2555;4;
Purmerend;G0439;11066;CDA;2094;3;
Purmerend;G0439;11066;OuderenpartijAOVPurmerend-Beemster;1943;3;
Purmerend;G0439;11066;D66;1912;3;
Purmerend;G0439;11066;GROENLINKS;1881;3;
Purmerend;G0439;11066;PVV (Partij voor de Vrijheid);1513;2;
Purmerend;G0439;11066;Forum voor Democratie;1362;2;
Purmerend;G0439;11066;Leefbaar Purmerend 2001;1061;1;
Purmerend;G0439;11066;Gemeentebelangen Purmerend;714;1;
Purmerend;G0439;11066;PB21;564;1;
Purmerend;G0439;11066;Piratenpartij;202;0;
Purmerend;G0439;11066;Lijst Van Damme (LVD);119;0;
Purmerend;G0439;11066;Groep HOP;94;0;
