Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Drenthe;P22;AantalBlancoStemmen;;527;;
Drenthe;P22;AantalGeldigeStemmen;;228275;;
Drenthe;P22;AantalOngeldigeStemmen;;499;;
Drenthe;P22;Kiesgerechtigden;;389925;;
Drenthe;P22;Opkomst;;229301;;
Drenthe;P22;Partij;Partij van de Arbeid (P.v.d.A.);32105;6;
Drenthe;P22;Partij;Forum voor Democratie;30713;6;
Drenthe;P22;Partij;VVD;29785;6;
Drenthe;P22;Partij;CDA;24082;5;
Drenthe;P22;Partij;GROENLINKS;18954;4;
Drenthe;P22;Partij;PVV (Partij voor de Vrijheid);16097;3;
Drenthe;P22;Partij;ChristenUnie;15526;3;
Drenthe;P22;Partij;SP (Socialistische Partij);14760;3;
Drenthe;P22;Partij;Democraten 66 (D66);12995;2;
Drenthe;P22;Partij;Sterk Lokaal;9344;1;
Drenthe;P22;Partij;50PLUS;8444;1;
Drenthe;P22;Partij;Partij voor de Dieren;7823;1;
Drenthe;P22;Partij;Onafhankelijke Partij Drenthe;3777;;
Drenthe;P22;Partij;Staatkundig Gereformeerde Partij (SGP);1877;;
Drenthe;P22;Partij;Senioren Belang;1414;;
Drenthe;P22;Partij;DENK;579;;
