Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Flevoland;P24;AantalBlancoStemmen;;412;;
Flevoland;P24;AantalGeldigeStemmen;;159485;;
Flevoland;P24;AantalOngeldigeStemmen;;626;;
Flevoland;P24;Kiesgerechtigden;;299536;;
Flevoland;P24;Opkomst;;160523;;
Flevoland;P24;Partij;Forum voor Democratie;28376;8;
Flevoland;P24;Partij;VVD;21012;6;
Flevoland;P24;Partij;PVV (Partij voor de Vrijheid);14781;4;
Flevoland;P24;Partij;GROENLINKS;13608;4;
Flevoland;P24;Partij;CDA;13256;3;
Flevoland;P24;Partij;Partij van de Arbeid (P.v.d.A.);13090;3;
Flevoland;P24;Partij;ChristenUnie;11219;3;
Flevoland;P24;Partij;SP (Socialistische Partij);9291;2;
Flevoland;P24;Partij;50PLUS;7859;2;
Flevoland;P24;Partij;Democraten 66 (D66);7799;2;
Flevoland;P24;Partij;Partij voor de Dieren;6986;2;
Flevoland;P24;Partij;Staatkundig Gereformeerde Partij (SGP);6128;1;
Flevoland;P24;Partij;DENK;3326;1;
Flevoland;P24;Partij;OPA;1283;;
Flevoland;P24;Partij;Respect!;976;;
Flevoland;P24;Partij;JEZUS LEEFT;495;;
