Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Fryslân;P21;AantalBlancoStemmen;;733;;
Fryslân;P21;AantalGeldigeStemmen;;298241;;
Fryslân;P21;AantalOngeldigeStemmen;;695;;
Fryslân;P21;Kiesgerechtigden;;506868;;
Fryslân;P21;Opkomst;;299669;;
Fryslân;P21;Partij;CDA;49704;8;
Fryslân;P21;Partij;Forum voor Democratie;40055;6;
Fryslân;P21;Partij;Partij van de Arbeid (P.v.d.A.);39976;6;
Fryslân;P21;Partij;VVD;28073;4;
Fryslân;P21;Partij;FNP;23662;4;
Fryslân;P21;Partij;GROENLINKS;22935;3;
Fryslân;P21;Partij;ChristenUnie;19673;3;
Fryslân;P21;Partij;PVV (Partij voor de Vrijheid);17287;3;
Fryslân;P21;Partij;SP (Socialistische Partij);15426;2;
Fryslân;P21;Partij;Democraten 66 (D66);12284;2;
Fryslân;P21;Partij;Partij voor de Dieren;9618;1;
Fryslân;P21;Partij;50PLUS;7595;1;
Fryslân;P21;Partij;Provinciaal Belang Fryslân;5345;;
Fryslân;P21;Partij;Staatkundig Gereformeerde Partij (SGP);3198;;
Fryslân;P21;Partij;Natuurlijk Fryslân;2917;;
Fryslân;P21;Partij;DENK;493;;
