Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Gelderland;P25;AantalBlancoStemmen;;2688;;
Gelderland;P25;AantalGeldigeStemmen;;935069;;
Gelderland;P25;AantalOngeldigeStemmen;;2352;;
Gelderland;P25;Kiesgerechtigden;;1605669;;
Gelderland;P25;Opkomst;;940109;;
Gelderland;P25;Partij;VVD;130537;8;
Gelderland;P25;Partij;Forum voor Democratie;125551;8;
Gelderland;P25;Partij;CDA;108248;7;
Gelderland;P25;Partij;GROENLINKS;101231;6;
Gelderland;P25;Partij;Partij van de Arbeid (P.v.d.A.);77931;5;
Gelderland;P25;Partij;Democraten 66 (D66);67279;4;
Gelderland;P25;Partij;ChristenUnie;63364;4;
Gelderland;P25;Partij;PVV (Partij voor de Vrijheid);56633;3;
Gelderland;P25;Partij;SP (Socialistische Partij);54510;3;
Gelderland;P25;Partij;Staatkundig Gereformeerde Partij (SGP);49097;3;
Gelderland;P25;Partij;Partij voor de Dieren;41658;2;
Gelderland;P25;Partij;50PLUS;35607;2;
Gelderland;P25;Partij;DENK;11298;;
Gelderland;P25;Partij;Lokale Partijen Gelderland-Code Oranje;11053;;
Gelderland;P25;Partij;JEZUS LEEFT;1072;;
