Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Groningen;P20;AantalBlancoStemmen;;744;;
Groningen;P20;AantalGeldigeStemmen;;255329;;
Groningen;P20;AantalOngeldigeStemmen;;583;;
Groningen;P20;Kiesgerechtigden;;457753;;
Groningen;P20;Opkomst;;256656;;
Groningen;P20;Partij;GROENLINKS;31886;6;
Groningen;P20;Partij;Partij van de Arbeid (P.v.d.A.);30605;5;
Groningen;P20;Partij;Forum voor Democratie;26104;5;
Groningen;P20;Partij;ChristenUnie;24125;4;
Groningen;P20;Partij;SP (Socialistische Partij);22166;4;
Groningen;P20;Partij;VVD;21595;4;
Groningen;P20;Partij;CDA;20642;3;
Groningen;P20;Partij;Groninger Belang;18556;3;
Groningen;P20;Partij;Democraten 66 (D66);16727;3;
Groningen;P20;Partij;PVV (Partij voor de Vrijheid);15271;2;
Groningen;P20;Partij;Partij voor het Noorden;10527;2;
Groningen;P20;Partij;Partij voor de Dieren;10406;1;
Groningen;P20;Partij;50PLUS;5638;1;
Groningen;P20;Partij;DENK;1081;;
