Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Limburg;P31;AantalBlancoStemmen;;1732;;
Limburg;P31;AantalGeldigeStemmen;;455478;;
Limburg;P31;AantalOngeldigeStemmen;;1289;;
Limburg;P31;Kiesgerechtigden;;872100;;
Limburg;P31;Opkomst;;458499;;
Limburg;P31;Partij;CDA;84947;9;
Limburg;P31;Partij;Forum voor Democratie;66343;7;
Limburg;P31;Partij;PVV (Partij voor de Vrijheid);61705;7;
Limburg;P31;Partij;VVD;46254;5;
Limburg;P31;Partij;SP (Socialistische Partij);39527;4;
Limburg;P31;Partij;GROENLINKS;38291;4;
Limburg;P31;Partij;Partij van de Arbeid (P.v.d.A.);29724;3;
Limburg;P31;Partij;Democraten 66 (D66);26420;3;
Limburg;P31;Partij;LOKAAL-LIMBURG;18474;2;
Limburg;P31;Partij;Partij voor de Dieren;17512;2;
Limburg;P31;Partij;50PLUS;17104;1;
Limburg;P31;Partij;ChristenUnie;4855;;
Limburg;P31;Partij;DENK;4322;;
