Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Noord-Brabant;P30;AantalBlancoStemmen;;3593;;
Noord-Brabant;P30;AantalGeldigeStemmen;;1013255;;
Noord-Brabant;P30;AantalOngeldigeStemmen;;2738;;
Noord-Brabant;P30;Kiesgerechtigden;;1945875;;
Noord-Brabant;P30;Opkomst;;1019586;;
Noord-Brabant;P30;Partij;VVD;163906;10;
Noord-Brabant;P30;Partij;Forum voor Democratie;146443;9;
Noord-Brabant;P30;Partij;CDA;134834;8;
Noord-Brabant;P30;Partij;SP (Socialistische Partij);93138;5;
Noord-Brabant;P30;Partij;Democraten 66 (D66);89014;5;
Noord-Brabant;P30;Partij;GROENLINKS;87687;5;
Noord-Brabant;P30;Partij;PVV (Partij voor de Vrijheid);77453;4;
Noord-Brabant;P30;Partij;Partij van de Arbeid (P.v.d.A.);64837;3;
Noord-Brabant;P30;Partij;50PLUS;41612;2;
Noord-Brabant;P30;Partij;Partij voor de Dieren;37775;2;
Noord-Brabant;P30;Partij;Lokaal Brabant;25485;1;
Noord-Brabant;P30;Partij;ChristenUnie-SGP;19466;1;
Noord-Brabant;P30;Partij;DENK;12415;;
Noord-Brabant;P30;Partij;Senioren Brabant;9687;;
Noord-Brabant;P30;Partij;Ouderen Appèl - Hart voor Brabant;6719;;
Noord-Brabant;P30;Partij;Code Oranje;2784;;
