Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Noord-Holland;P27;AantalBlancoStemmen;;3199;;
Noord-Holland;P27;AantalGeldigeStemmen;;1166175;;
Noord-Holland;P27;AantalOngeldigeStemmen;;3953;;
Noord-Holland;P27;Kiesgerechtigden;;2082562;;
Noord-Holland;P27;Opkomst;;1173327;;
Noord-Holland;P27;Partij;Forum voor Democratie;178717;9;
Noord-Holland;P27;Partij;GROENLINKS;178001;9;
Noord-Holland;P27;Partij;VVD;169288;9;
Noord-Holland;P27;Partij;Democraten 66 (D66);115928;6;
Noord-Holland;P27;Partij;Partij van de Arbeid (P.v.d.A.);114026;6;
Noord-Holland;P27;Partij;CDA;79361;4;
Noord-Holland;P27;Partij;Partij voor de Dieren;70809;3;
Noord-Holland;P27;Partij;PVV (Partij voor de Vrijheid);65346;3;
Noord-Holland;P27;Partij;SP (Socialistische Partij);58396;3;
Noord-Holland;P27;Partij;ChristenUnie;36491;1;
Noord-Holland;P27;Partij;50PLUS/PARTIJ VAN DE OUDEREN;32190;1;
Noord-Holland;P27;Partij;DENK;28035;1;
Noord-Holland;P27;Partij;Ouderenpartij Noord-Holland;18307;;
Noord-Holland;P27;Partij;Code Oranje;16665;;
Noord-Holland;P27;Partij;NIDA;4615;;
