Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Overijssel;P23;AantalBlancoStemmen;;1408;;
Overijssel;P23;AantalGeldigeStemmen;;523465;;
Overijssel;P23;AantalOngeldigeStemmen;;1335;;
Overijssel;P23;Kiesgerechtigden;;887844;;
Overijssel;P23;Opkomst;;526208;;
Overijssel;P23;Partij;CDA;89523;9;
Overijssel;P23;Partij;Forum voor Democratie;69443;6;
Overijssel;P23;Partij;VVD;67731;6;
Overijssel;P23;Partij;GROENLINKS;49643;5;
Overijssel;P23;Partij;Partij van de Arbeid (P.v.d.A.);44494;4;
Overijssel;P23;Partij;ChristenUnie;43248;4;
Overijssel;P23;Partij;PVV (Partij voor de Vrijheid);37582;3;
Overijssel;P23;Partij;SP (Socialistische Partij);30792;3;
Overijssel;P23;Partij;Democraten 66 (D66);30221;3;
Overijssel;P23;Partij;Staatkundig Gereformeerde Partij (SGP);20473;2;
Overijssel;P23;Partij;50PLUS;17970;1;
Overijssel;P23;Partij;Partij voor de Dieren;15850;1;
Overijssel;P23;Partij;DENK;6495;;
