Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Utrecht;P26;AantalBlancoStemmen;;1815;;
Utrecht;P26;AantalGeldigeStemmen;;615355;;
Utrecht;P26;AantalOngeldigeStemmen;;1494;;
Utrecht;P26;Kiesgerechtigden;;1004853;;
Utrecht;P26;Opkomst;;618664;;
Utrecht;P26;Partij;GROENLINKS;98900;8;
Utrecht;P26;Partij;VVD;94189;8;
Utrecht;P26;Partij;Forum voor Democratie;71374;6;
Utrecht;P26;Partij;CDA;60774;5;
Utrecht;P26;Partij;Democraten 66 (D66);58133;5;
Utrecht;P26;Partij;Partij van de Arbeid (P.v.d.A.);44894;4;
Utrecht;P26;Partij;ChristenUnie;44855;4;
Utrecht;P26;Partij;PVV (Partij voor de Vrijheid);30267;2;
Utrecht;P26;Partij;Partij voor de Dieren;28985;2;
Utrecht;P26;Partij;SP (Socialistische Partij);23894;2;
Utrecht;P26;Partij;Staatkundig Gereformeerde Partij (SGP);21760;1;
Utrecht;P26;Partij;50PLUS;17705;1;
Utrecht;P26;Partij;DENK;13095;1;
Utrecht;P26;Partij;U26 GEMEENTEN;6530;;
