Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Zeeland;P29;AantalBlancoStemmen;;424;;
Zeeland;P29;AantalGeldigeStemmen;;170972;;
Zeeland;P29;AantalOngeldigeStemmen;;416;;
Zeeland;P29;Kiesgerechtigden;;290453;;
Zeeland;P29;Opkomst;;171812;;
Zeeland;P29;Partij;CDA;27810;7;
Zeeland;P29;Partij;Staatkundig Gereformeerde Partij (SGP);20624;5;
Zeeland;P29;Partij;Forum voor Democratie;20168;5;
Zeeland;P29;Partij;VVD;17580;4;
Zeeland;P29;Partij;Partij van de Arbeid (P.v.d.A.);14365;4;
Zeeland;P29;Partij;PVV (Partij voor de Vrijheid);10668;2;
Zeeland;P29;Partij;Partij voor Zeeland (PVZ);10619;2;
Zeeland;P29;Partij;GROENLINKS;9992;2;
Zeeland;P29;Partij;ChristenUnie;8927;2;
Zeeland;P29;Partij;50PLUS;8764;2;
Zeeland;P29;Partij;SP (Socialistische Partij);8240;2;
Zeeland;P29;Partij;Democraten 66 (D66);6409;1;
Zeeland;P29;Partij;Partij voor de Dieren;5992;1;
Zeeland;P29;Partij;DENK;814;;
