Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Zuid-Holland;P28;AantalBlancoStemmen;;4102;;
Zuid-Holland;P28;AantalGeldigeStemmen;;1455969;;
Zuid-Holland;P28;AantalOngeldigeStemmen;;5225;;
Zuid-Holland;P28;Kiesgerechtigden;;2689094;;
Zuid-Holland;P28;Opkomst;;1465296;;
Zuid-Holland;P28;Partij;Forum voor Democratie;253743;11;
Zuid-Holland;P28;Partij;VVD;227987;10;
Zuid-Holland;P28;Partij;GROENLINKS;131878;5;
Zuid-Holland;P28;Partij;Democraten 66 (D66);124154;5;
Zuid-Holland;P28;Partij;Partij van de Arbeid (P.v.d.A.);113859;4;
Zuid-Holland;P28;Partij;CDA;112681;4;
Zuid-Holland;P28;Partij;PVV (Partij voor de Vrijheid);101858;4;
Zuid-Holland;P28;Partij;ChristenUnie;81160;3;
Zuid-Holland;P28;Partij;50PLUS;64727;2;
Zuid-Holland;P28;Partij;Partij voor de Dieren;63690;2;
Zuid-Holland;P28;Partij;SP (Socialistische Partij);59956;2;
Zuid-Holland;P28;Partij;Staatkundig Gereformeerde Partij (SGP);56742;2;
Zuid-Holland;P28;Partij;DENK;39800;1;
Zuid-Holland;P28;Partij;Lokale Partijen Zuid Holland (LPZH);11648;;
Zuid-Holland;P28;Partij;NIDA;6732;;
Zuid-Holland;P28;Partij;Code Oranje;4598;;
Zuid-Holland;P28;Partij;JEZUS LEEFT;756;;
