Regio;Code;Lijst;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;1812;;
Nederland;L528;AantalGeldigeStemmen;;2824558;;
Nederland;L528;AantalOngeldigeStemmen;;49984;;
Nederland;L528;Kiesgerechtigden;;3145161;;
Nederland;L528;Opkomst;;2876354;;
Nederland;L528;Lijst33;RKSP;117302;5;     # RKSP used six lists
Nederland;L528;Lijst42;RKSP;200339;7;
Nederland;L528;Lijst16;RKSP;27133;1;
Nederland;L528;Lijst39;RKSP;49678;2;
Nederland;L528;Lijst50;RKSP;399052;14;
Nederland;L528;Lijst25;RKSP;81241;3;
Nederland;L528;Lijst36;SDAP;567769;20;
Nederland;L528;Lijst6;ARP;88278;4;       # the ARP used four lists
Nederland;L528;Lijst2;ARP;64452;3;
Nederland;L528;Lijst5;ARP;79341;3;
Nederland;L528;Lijst13;ARP;170206;6;
Nederland;L528;Lijst32;CHU;318669;11;
Nederland;L528;Lijst21;Vrijheidsbond;271358;10;
Nederland;L528;Lijst19;VDB;134595;5;
Nederland;L528;Lijst15;CPN;53664;2;
Nederland;L528;Lijst20;Plattelandersbond;45816;2;   # includes "de Ruyter Gz"
Nederland;L528;Lijst28;SGP;26744;1;
Nederland;L528;Lijst22;Christen-Democratische Partij;20760;;
Nederland;L528;Lijst46;HGSP;20431;;
Nederland;L528;Lijst44;Christelijk-Sociale Partij;19540;;
Nederland;L528;Lijst4;Liberale Groep;28050;1;
Nederland;L528;Lijst7;Lijsten Arts;15830;;
Nederland;L528;Lijst26;Onafhankelijke Partij;15227;;
Nederland;L528;Lijst9;Nieuwe Katholieke Partij;13499;;
Nederland;L528;Lijst17;Socialistische Partij;12411;;     # includes Verweij + Zwaag
Nederland;L528;Lijst34;Rapaille-partij;7069;;
Nederland;L528;Lijst10;Rapaille-partij;2258;;
Nederland;L528;Lijst12;Rapaille-partij;1178;;
Nederland;L528;Lijst24;Rapaille-partij;953;;
Nederland;L528;Lijst3;Nederlandse Bond van Belastingbetalers;15727;;
Nederland;L528;Lijst49;Plattelandspartij;10628;;
Nederland;L528;Lijst29;Democratische Partij;9209;;
Nederland;L528;Lijst38;Neutraal Blok Middenstanders;9436;;  # includes "Van der Werf" + "Bleeker"
Nederland;L528;Lijst14;Lijst Martens;207;;
Nederland;L528;Lijst37;Bezuinigingsbond;8193;;
Nederland;L528;Lijst41;Algemene Nederlandse Vrouwenorganisatie;6001;;
Nederland;L528;Lijst35;Kunstenaarspartij;3499;;
Nederland;L528;Lijst8;Christelijke Volkspartij;1556;;
Nederland;L528;Lijst27;Lijst Groenendaal;1902;;
Nederland;L528;Lijst23;Grondpartij;1384;;
Nederland;L528;Lijst47;Grondpartij;213;;
Nederland;L528;Lijst43;Vrijdenkers;1123;;
Nederland;L528;Lijst45;Lijst Coppenolle;1061;;
Nederland;L528;Lijst11;Kiesvereniging Aller Belang;741;;
Nederland;L528;Lijst1;Vrije Middenstandspartij;577;;
Nederland;L528;Lijst30;Kleine Middenstandspartij;544;;
Nederland;L528;Lijst31;Vaderlandsche partij;354;;
Nederland;L528;Lijst40;Lijst Brinkman;167;;
Nederland;L528;Lijst18;Revolutionaire partij;142;;
Nederland;L528;Lijst48;Lijst Busch;67;;
