Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;5999530;;
Nederland;L528;AantalOngeldigeStemmen;;143879;;
Nederland;L528;Kiesgerechtigden;;6425458;;
Nederland;L528;Opkomst;;6143409;;
Nederland;L528;Partij;KVP;1895914;49;
Nederland;L528;Partij;PvdA;1821285;48;
Nederland;L528;Partij;VVD;732758;19;
Nederland;L528;Partij;ARP;563091;14;
Nederland;L528;Partij;CHU;486429;12;
Nederland;L528;Partij;CPN;144542;3;
Nederland;L528;Partij;SGP;129678;3;
Nederland;L528;Partij;PSP;110499;2;
Nederland;L528;Partij;GPV;39972;;
Nederland;L528;Partij;Boeren Partij;37774;;
Nederland;L528;Partij;Bruggroep;34723;;
Nederland;L528;Partij;Partij voor Landbouw en Middenstand;1649;;
Nederland;L528;Partij;Positief Christelijk Nationale Unie;1317;;
