Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Aa en Maas;W0654;AantalBlancoStemmen;;8974;;
Aa en Maas;W0654;AantalGeldigeStemmen;;293010;;
Aa en Maas;W0654;AantalOngeldigeStemmen;;1399;;
Aa en Maas;W0654;Kiesgerechtigden;;619659;;
Aa en Maas;W0654;Opkomst;;303383;;
Aa en Maas;W0654;Partij;Water Natuurlijk;85123;7;
Aa en Maas;W0654;Partij;CDA;62561;5;
Aa en Maas;W0654;Partij;VVD;48163;4;
Aa en Maas;W0654;Partij;Partij van de Arbeid (P.v.d.A.);33341;3;
Aa en Maas;W0654;Partij;50PLUS;30084;2;
Aa en Maas;W0654;Partij;AWP niet politiek wel deskundig;21933;1;
Aa en Maas;W0654;Partij;Ouderen Appèl - Hart voor Water;11805;1;
