Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Amstel, Gooi en Vecht;W0155;AantalBlancoStemmen;;12018;;
Amstel, Gooi en Vecht;W0155;AantalGeldigeStemmen;;504194;;
Amstel, Gooi en Vecht;W0155;AantalOngeldigeStemmen;;3532;;
Amstel, Gooi en Vecht;W0155;Kiesgerechtigden;;1066421;;
Amstel, Gooi en Vecht;W0155;Opkomst;;519744;;
Amstel, Gooi en Vecht;W0155;Partij;VVD;92995;5;
Amstel, Gooi en Vecht;W0155;Partij;Partij van de Arbeid (P.v.d.A.);92247;4;
Amstel, Gooi en Vecht;W0155;Partij;Partij voor de Dieren;81842;4;
Amstel, Gooi en Vecht;W0155;Partij;Water Natuurlijk;76605;4;
Amstel, Gooi en Vecht;W0155;Partij;CDA;43271;2;
Amstel, Gooi en Vecht;W0155;Partij;De Groenen;39418;2;
Amstel, Gooi en Vecht;W0155;Partij;50PLUS;31035;1;
Amstel, Gooi en Vecht;W0155;Partij;ChristenUnie;20477;1;
Amstel, Gooi en Vecht;W0155;Partij;Forum Duurzaam Effectief Waterschap;15009;;
Amstel, Gooi en Vecht;W0155;Partij;Socialistische Waterschapsvereniging;5898;;
Amstel, Gooi en Vecht;W0155;Partij;QUEER;3670;;
Amstel, Gooi en Vecht;W0155;Partij;De Republikeinse Politieke Partij;1727;;
