Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Brabantse Delta;W0652;AantalBlancoStemmen;;6284;;
Brabantse Delta;W0652;AantalGeldigeStemmen;;305307;;
Brabantse Delta;W0652;AantalOngeldigeStemmen;;1604;;
Brabantse Delta;W0652;Kiesgerechtigden;;667306;;
Brabantse Delta;W0652;Opkomst;;313195;;
Brabantse Delta;W0652;Partij;VVD;55290;5;
Brabantse Delta;W0652;Partij;Ons Water;48853;4;
Brabantse Delta;W0652;Partij;CDA;39217;3;
Brabantse Delta;W0652;Partij;West-Brabant Waterbreed;37898;3;
Brabantse Delta;W0652;Partij;Water Natuurlijk;28603;2;
Brabantse Delta;W0652;Partij;Partij van de Arbeid (P.v.d.A.);27881;2;
Brabantse Delta;W0652;Partij;Partij voor de Dieren;27396;2;
Brabantse Delta;W0652;Partij;50PLUS;26184;2;
Brabantse Delta;W0652;Partij;AWP niet politiek wel deskundig;8209;;
Brabantse Delta;W0652;Partij;ChristenUnie;5776;;
