Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
De Dommel;W0539;AantalBlancoStemmen;;11692;;
De Dommel;W0539;AantalGeldigeStemmen;;327884;;
De Dommel;W0539;AantalOngeldigeStemmen;;1870;;
De Dommel;W0539;Kiesgerechtigden;;730933;;
De Dommel;W0539;Opkomst;;341446;;
De Dommel;W0539;Partij;Water Natuurlijk;103337;8;
De Dommel;W0539;Partij;VVD;50104;4;
De Dommel;W0539;Partij;CDA;49243;4;
De Dommel;W0539;Partij;Partij van de Arbeid (P.v.d.A.);44170;3;
De Dommel;W0539;Partij;50PLUS;30052;2;
De Dommel;W0539;Partij;Werken aan Water;20193;1;
De Dommel;W0539;Partij;AWP niet politiek wel deskundig;15383;1;
De Dommel;W0539;Partij;Ouderen Appèl - Hart voor Water;9592;;
De Dommel;W0539;Partij;ChristenUnie;5810;;
