Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
De Stichtse Rijnlanden;W0636;AantalBlancoStemmen;;8478;;
De Stichtse Rijnlanden;W0636;AantalGeldigeStemmen;;362304;;
De Stichtse Rijnlanden;W0636;AantalOngeldigeStemmen;;1562;;
De Stichtse Rijnlanden;W0636;Kiesgerechtigden;;689415;;
De Stichtse Rijnlanden;W0636;Opkomst;;372344;;
De Stichtse Rijnlanden;W0636;Partij;Water Natuurlijk;94545;7;
De Stichtse Rijnlanden;W0636;Partij;VVD;51332;4;
De Stichtse Rijnlanden;W0636;Partij;Partij voor de Dieren;43365;3;
De Stichtse Rijnlanden;W0636;Partij;CDA;39783;3;
De Stichtse Rijnlanden;W0636;Partij;Partij van de Arbeid (P.v.d.A.);37903;2;
De Stichtse Rijnlanden;W0636;Partij;AWP niet politiek, wel deskundig;25159;1;
De Stichtse Rijnlanden;W0636;Partij;ChristenUnie;22027;1;
De Stichtse Rijnlanden;W0636;Partij;Waterschap@inwonersbelangen;18630;1;
De Stichtse Rijnlanden;W0636;Partij;50PLUS;17349;1;
De Stichtse Rijnlanden;W0636;Partij;Staatkundig Gereformeerde Partij (SGP);12211;;
