Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Delfland;W0372;AantalBlancoStemmen;;10247;;
Delfland;W0372;AantalGeldigeStemmen;;424694;;
Delfland;W0372;AantalOngeldigeStemmen;;2781;;
Delfland;W0372;Kiesgerechtigden;;952351;;
Delfland;W0372;Opkomst;;437722;;
Delfland;W0372;Partij;VVD;82711;5;
Delfland;W0372;Partij;Partij van de Arbeid (P.v.d.A.);62283;3;
Delfland;W0372;Partij;Water Natuurlijk;56905;3;
Delfland;W0372;Partij;AWP niet politiek wel deskundig;52813;3;
Delfland;W0372;Partij;Partij voor de Dieren;52269;3;
Delfland;W0372;Partij;CDA;45177;2;
Delfland;W0372;Partij;50PLUS;30855;1;
Delfland;W0372;Partij;ChristenUnie-SGP;19495;1;
Delfland;W0372;Partij;Waterschapspartij PUUR.;14978;;
Delfland;W0372;Partij;Partij Sociaal Cultureel Centrum (PSCC);3504;;
Delfland;W0372;Partij;Blanco lijst 11;2160;;
Delfland;W0372;Partij;Integer Liberaal;1544;;
