Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Drents Overijsselse Delta;W0664;AantalBlancoStemmen;;5362;;
Drents Overijsselse Delta;W0664;AantalGeldigeStemmen;;276640;;
Drents Overijsselse Delta;W0664;AantalOngeldigeStemmen;;1037;;
Drents Overijsselse Delta;W0664;Kiesgerechtigden;;491020;;
Drents Overijsselse Delta;W0664;Opkomst;;283039;;
Drents Overijsselse Delta;W0664;Partij;Water Natuurlijk;58635;5;
Drents Overijsselse Delta;W0664;Partij;VVD;44637;4;
Drents Overijsselse Delta;W0664;Partij;CDA;42465;3;
Drents Overijsselse Delta;W0664;Partij;Gemeentebelangen Drenthe~Overijssel;35291;3;
Drents Overijsselse Delta;W0664;Partij;ChristenUnie;31611;2;
Drents Overijsselse Delta;W0664;Partij;AWP niet politiek wel deskundig;28274;2;
Drents Overijsselse Delta;W0664;Partij;50PLUS;19599;1;
Drents Overijsselse Delta;W0664;Partij;Staatkundig Gereformeerde Partij (SGP);16128;1;
