Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Fryslân;W0653;AantalBlancoStemmen;;3521;;
Fryslân;W0653;AantalGeldigeStemmen;;290671;;
Fryslân;W0653;AantalOngeldigeStemmen;;960;;
Fryslân;W0653;Kiesgerechtigden;;525068;;
Fryslân;W0653;Opkomst;;295152;;
Fryslân;W0653;Partij;CDA;54057;3;
Fryslân;W0653;Partij;Water Natuurlijk;45876;3;
Fryslân;W0653;Partij;Partij van de Arbeid (P.v.d.A.);40198;3;
Fryslân;W0653;Partij;FNP;39032;2;
Fryslân;W0653;Partij;VVD;27373;2;
Fryslân;W0653;Partij;Lagere Lasten Burger;27319;2;
Fryslân;W0653;Partij;ChristenUnie;23650;1;
Fryslân;W0653;Partij;Partij voor de Dieren;19063;1;
Fryslân;W0653;Partij;50PLUS;14103;1;
