Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Hollands Noorderkwartier;W0651;AantalBlancoStemmen;;10082;;
Hollands Noorderkwartier;W0651;AantalGeldigeStemmen;;473676;;
Hollands Noorderkwartier;W0651;AantalOngeldigeStemmen;;2266;;
Hollands Noorderkwartier;W0651;Kiesgerechtigden;;928735;;
Hollands Noorderkwartier;W0651;Opkomst;;486024;;
Hollands Noorderkwartier;W0651;Partij;Groen, Water & Land;129889;7;
Hollands Noorderkwartier;W0651;Partij;Partij van de Arbeid (P.v.d.A.);69321;4;
Hollands Noorderkwartier;W0651;Partij;VVD;58950;3;
Hollands Noorderkwartier;W0651;Partij;Water Natuurlijk;51540;3;
Hollands Noorderkwartier;W0651;Partij;CDA;50044;2;
Hollands Noorderkwartier;W0651;Partij;50PLUS;42970;2;
Hollands Noorderkwartier;W0651;Partij;AWP niet politiek wel deskundig;34222;1;
Hollands Noorderkwartier;W0651;Partij;Natuurlijk BBW;20935;1;
Hollands Noorderkwartier;W0651;Partij;ChristenUnie;15805;;
