Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Hollandse Delta;W0655;AantalBlancoStemmen;;5615;;
Hollandse Delta;W0655;AantalGeldigeStemmen;;309776;;
Hollandse Delta;W0655;AantalOngeldigeStemmen;;1945;;
Hollandse Delta;W0655;Kiesgerechtigden;;689678;;
Hollandse Delta;W0655;Opkomst;;317336;;
Hollandse Delta;W0655;Partij;Waterschapspartij Hollandse Delta;90249;7;
Hollandse Delta;W0655;Partij;VVD;33702;2;
Hollandse Delta;W0655;Partij;Partij van de Arbeid (P.v.d.A.);31955;2;
Hollandse Delta;W0655;Partij;50PLUS;26811;2;
Hollandse Delta;W0655;Partij;CDA;25763;2;
Hollandse Delta;W0655;Partij;Hollandse Delta Natuurlijk;24124;2;
Hollandse Delta;W0655;Partij;Water Natuurlijk;23560;1;
Hollandse Delta;W0655;Partij;Staatkundig Gereformeerde Partij (SGP);20724;1;
Hollandse Delta;W0655;Partij;ChristenUnie;19110;1;
Hollandse Delta;W0655;Partij;AWP niet politiek wel deskundig;13778;1;
