Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Hunze en Aa's;W0646;AantalBlancoStemmen;;3236;;
Hunze en Aa's;W0646;AantalGeldigeStemmen;;176544;;
Hunze en Aa's;W0646;AantalOngeldigeStemmen;;754;;
Hunze en Aa's;W0646;Kiesgerechtigden;;344762;;
Hunze en Aa's;W0646;Opkomst;;180534;;
Hunze en Aa's;W0646;Partij;Water Natuurlijk;57672;5;
Hunze en Aa's;W0646;Partij;Partij van de Arbeid (P.v.d.A.);31606;3;
Hunze en Aa's;W0646;Partij;VVD;21482;2;
Hunze en Aa's;W0646;Partij;CDA;17211;2;
Hunze en Aa's;W0646;Partij;AWP niet politiek wel deskundig;17174;2;
Hunze en Aa's;W0646;Partij;50PLUS;16370;1;
Hunze en Aa's;W0646;Partij;ChristenUnie;15029;1;
