Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Limburg;W0665;AantalBlancoStemmen;;14042;;
Limburg;W0665;AantalGeldigeStemmen;;424274;;
Limburg;W0665;AantalOngeldigeStemmen;;3307;;
Limburg;W0665;Kiesgerechtigden;;927525;;
Limburg;W0665;Opkomst;;441623;;
Limburg;W0665;Partij;Waterbelang Parkstad;48770;3;
Limburg;W0665;Partij;Water Natuurlijk;47239;3;
Limburg;W0665;Partij;Waterbelang Westelijke Mijnstreek;39976;2;
Limburg;W0665;Partij;Waterbelang Midden-Limburg;39900;2;
Limburg;W0665;Partij;VVD;38848;2;
Limburg;W0665;Partij;Waterbelang Heuvelland;32088;2;
Limburg;W0665;Partij;Lokaal Limburg;27230;1;
Limburg;W0665;Partij;Waterbelang Venlo;26241;1;
Limburg;W0665;Partij;Waterbelang Land van Weert + Leudal;26166;1;
Limburg;W0665;Partij;Waterbelang Maastricht;23310;1;
Limburg;W0665;Partij;Waterbelang Venray en Maasduinen;22462;1;
Limburg;W0665;Partij;Waterbelang Horst-Helden-Beesel;20893;1;
Limburg;W0665;Partij;50PLUS;19421;1;
Limburg;W0665;Partij;AWP niet politiek wel deskundig;11730;;
