Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Noorderzijlvest;W0647;AantalBlancoStemmen;;2736;;
Noorderzijlvest;W0647;AantalGeldigeStemmen;;149133;;
Noorderzijlvest;W0647;AantalOngeldigeStemmen;;571;;
Noorderzijlvest;W0647;Kiesgerechtigden;;286744;;
Noorderzijlvest;W0647;Opkomst;;152440;;
Noorderzijlvest;W0647;Partij;Water Natuurlijk;49208;5;
Noorderzijlvest;W0647;Partij;Partij van de Arbeid (P.v.d.A.);26123;3;
Noorderzijlvest;W0647;Partij;ChristenUnie;16351;2;
Noorderzijlvest;W0647;Partij;CDA;15388;2;
Noorderzijlvest;W0647;Partij;Betaalbaar Water;14689;2;
Noorderzijlvest;W0647;Partij;VVD;14159;1;
Noorderzijlvest;W0647;Partij;50PLUS;7335;1;
Noorderzijlvest;W0647;Partij;AWP niet politiek wel deskundig;5880;;
