Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Rijn en IJssel;W0152;AantalBlancoStemmen;;5296;;
Rijn en IJssel;W0152;AantalGeldigeStemmen;;265286;;
Rijn en IJssel;W0152;AantalOngeldigeStemmen;;1173;;
Rijn en IJssel;W0152;Kiesgerechtigden;;506160;;
Rijn en IJssel;W0152;Opkomst;;271755;;
Rijn en IJssel;W0152;Partij;CDA;54699;5;
Rijn en IJssel;W0152;Partij;Water Natuurlijk;53195;5;
Rijn en IJssel;W0152;Partij;Partij van de Arbeid (P.v.d.A.);45582;4;
Rijn en IJssel;W0152;Partij;VVD;40285;3;
Rijn en IJssel;W0152;Partij;Vrienden van de Berkel;28465;2;
Rijn en IJssel;W0152;Partij;50PLUS;17236;1;
Rijn en IJssel;W0152;Partij;AWP niet politiek wel deskundig;14997;1;
Rijn en IJssel;W0152;Partij;Vereniging Dorpshuizen en Kleine Kernen;10827;1;
