Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Rijnland;W0616;AantalBlancoStemmen;;9400;;
Rijnland;W0616;AantalGeldigeStemmen;;541989;;
Rijnland;W0616;AantalOngeldigeStemmen;;2367;;
Rijnland;W0616;Kiesgerechtigden;;1026199;;
Rijnland;W0616;Opkomst;;553756;;
Rijnland;W0616;Partij;VVD;112421;5;
Rijnland;W0616;Partij;Partij van de Arbeid (P.v.d.A.);82088;3;
Rijnland;W0616;Partij;Water Natuurlijk;74920;3;
Rijnland;W0616;Partij;CDA;73644;3;
Rijnland;W0616;Partij;Partij voor de Dieren;63495;2;
Rijnland;W0616;Partij;50PLUS;43741;2;
Rijnland;W0616;Partij;ChristenUnie-SGP;42905;2;
Rijnland;W0616;Partij;AWP niet politiek wel deskundig;40451;1;
Rijnland;W0616;Partij;Trots op Nederland (TROTS);8324;;
