Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Rivierenland;W0621;AantalBlancoStemmen;;8001;;
Rivierenland;W0621;AantalGeldigeStemmen;;423384;;
Rivierenland;W0621;AantalOngeldigeStemmen;;1738;;
Rivierenland;W0621;Kiesgerechtigden;;809449;;
Rivierenland;W0621;Opkomst;;433123;;
Rivierenland;W0621;Partij;CDA;73944;4;
Rivierenland;W0621;Partij;Water Natuurlijk;68552;4;
Rivierenland;W0621;Partij;VVD;58522;3;
Rivierenland;W0621;Partij;Partij van de Arbeid (P.v.d.A.);54397;3;
Rivierenland;W0621;Partij;Partij voor de Dieren;44503;2;
Rivierenland;W0621;Partij;50PLUS;34260;2;
Rivierenland;W0621;Partij;Staatkundig Gereformeerde Partij (SGP);33674;2;
Rivierenland;W0621;Partij;ChristenUnie;27853;1;
Rivierenland;W0621;Partij;AWPenLRR niet politiek, wel lokaal;27679;1;
