Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Scheldestromen;W0661;AantalBlancoStemmen;;1934;;
Scheldestromen;W0661;AantalGeldigeStemmen;;166750;;
Scheldestromen;W0661;AantalOngeldigeStemmen;;755;;
Scheldestromen;W0661;Kiesgerechtigden;;307428;;
Scheldestromen;W0661;Opkomst;;169439;;
Scheldestromen;W0661;Partij;Partij voor Zeeland;26102;4;
Scheldestromen;W0661;Partij;CDA;25568;4;
Scheldestromen;W0661;Partij;Staatkundig Gereformeerde Partij (SGP);21061;3;
Scheldestromen;W0661;Partij;Partij van de Arbeid (P.v.d.A.);16692;2;
Scheldestromen;W0661;Partij;VVD;15640;2;
Scheldestromen;W0661;Partij;Waterschapspartij Zeeuws-Vlaanderen;15201;2;
Scheldestromen;W0661;Partij;Water Natuurlijk;13886;2;
Scheldestromen;W0661;Partij;50PLUS;13401;2;
Scheldestromen;W0661;Partij;AWP Niet Politiek Wel Deskundig;9913;1;
Scheldestromen;W0661;Partij;ChristenUnie;9286;1;
