Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Schieland en de Krimpenerwaard;W0656;AantalBlancoStemmen;;5216;;
Schieland en de Krimpenerwaard;W0656;AantalGeldigeStemmen;;236983;;
Schieland en de Krimpenerwaard;W0656;AantalOngeldigeStemmen;;1422;;
Schieland en de Krimpenerwaard;W0656;Kiesgerechtigden;;497546;;
Schieland en de Krimpenerwaard;W0656;Opkomst;;243621;;
Schieland en de Krimpenerwaard;W0656;Partij;Water Natuurlijk;58767;6;
Schieland en de Krimpenerwaard;W0656;Partij;VVD;46037;5;
Schieland en de Krimpenerwaard;W0656;Partij;Partij van de Arbeid (P.v.d.A.);34945;3;
Schieland en de Krimpenerwaard;W0656;Partij;50PLUS;25452;2;
Schieland en de Krimpenerwaard;W0656;Partij;SGP-ChristenUnie;23622;2;
Schieland en de Krimpenerwaard;W0656;Partij;CDA;18061;1;
Schieland en de Krimpenerwaard;W0656;Partij;Ons-Platteland;16004;1;
Schieland en de Krimpenerwaard;W0656;Partij;AWP niet politiek wel deskundig;14095;1;
