Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Vallei en Veluwe;W0662;AantalBlancoStemmen;;8534;;
Vallei en Veluwe;W0662;AantalGeldigeStemmen;;510380;;
Vallei en Veluwe;W0662;AantalOngeldigeStemmen;;1938;;
Vallei en Veluwe;W0662;Kiesgerechtigden;;894595;;
Vallei en Veluwe;W0662;Opkomst;;520852;;
Vallei en Veluwe;W0662;Partij;VVD;77681;4;
Vallei en Veluwe;W0662;Partij;ChristenUnie;71091;3;
Vallei en Veluwe;W0662;Partij;CDA;65996;3;
Vallei en Veluwe;W0662;Partij;Water Natuurlijk;64308;3;
Vallei en Veluwe;W0662;Partij;Partij van de Arbeid (P.v.d.A.);54444;2;
Vallei en Veluwe;W0662;Partij;Staatkundig Gereformeerde Partij (SGP);53271;2;
Vallei en Veluwe;W0662;Partij;Lokaal Waterbeheer;43623;2;
Vallei en Veluwe;W0662;Partij;AWP niet politiek wel deskundig;39326;2;
Vallei en Veluwe;W0662;Partij;50PLUS;36776;2;
Vallei en Veluwe;W0662;Partij;Verenigde Senioren Partij;3864;;
