Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Vechtstromen;W0663;AantalBlancoStemmen;;7255;;
Vechtstromen;W0663;AantalGeldigeStemmen;;337304;;
Vechtstromen;W0663;AantalOngeldigeStemmen;;1467;;
Vechtstromen;W0663;Kiesgerechtigden;;650822;;
Vechtstromen;W0663;Opkomst;;346026;;
Vechtstromen;W0663;Partij;Water Natuurlijk;88084;6;
Vechtstromen;W0663;Partij;CDA;74394;5;
Vechtstromen;W0663;Partij;AWP niet politiek wel deskundig;46768;3;
Vechtstromen;W0663;Partij;VVD;46125;3;
Vechtstromen;W0663;Partij;50PLUS;25303;1;
Vechtstromen;W0663;Partij;ChristenUnie;25272;1;
Vechtstromen;W0663;Partij;OUDERENPARTIJ;16347;1;
Vechtstromen;W0663;Partij;Staatkundig Gereformeerde Partij (SGP);11927;;
Vechtstromen;W0663;Partij;Blanco lijst 8;3084;;
