Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Zuiderzeeland;W0650;AantalBlancoStemmen;;3061;;
Zuiderzeeland;W0650;AantalGeldigeStemmen;;154022;;
Zuiderzeeland;W0650;AantalOngeldigeStemmen;;881;;
Zuiderzeeland;W0650;Kiesgerechtigden;;322063;;
Zuiderzeeland;W0650;Opkomst;;157964;;
Zuiderzeeland;W0650;Partij;Water, Wonen en Natuur;51449;6;
Zuiderzeeland;W0650;Partij;ChristenUnie/SGP;21182;3;
Zuiderzeeland;W0650;Partij;Werk aan Water Flevoland;19233;2;
Zuiderzeeland;W0650;Partij;VVD;17794;2;
Zuiderzeeland;W0650;Partij;50PLUS;16211;2;
Zuiderzeeland;W0650;Partij;CDA;13192;2;
Zuiderzeeland;W0650;Partij;AWP niet politiek wel deskundig;9427;1;
Zuiderzeeland;W0650;Partij;OPA;5534;;
